trans_id                                           account_id                                         date                                               type                                               operation                                          amount                                             balance                                            k_symbol                                           bank                                               account
252645                                             866                                                930111                                             "PRIJEM"                                           "VKLAD"                                            12644.00                                           13144.00                                           ""                                                 NULL                                               NULL
101386                                             346                                                930111                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
689828                                             2357                                               930112                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    6434.00                                            7234.00                                            "DUCHOD"                                           "OP"                                               "34144538"
725752                                             2484                                               930112                                             "PRIJEM"                                           "VKLAD"                                            14779.00                                           15879.00                                           ""                                                 NULL                                               NULL
565655                                             1926                                               930112                                             "PRIJEM"                                           "VKLAD"                                            4507.00                                            5207.00                                            ""                                                 NULL                                               NULL
857974                                             2925                                               930112                                             "PRIJEM"                                           "VKLAD"                                            6446.00                                            7446.00                                            ""                                                 NULL                                               NULL
560898                                             1909                                               930112                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
207265                                             704                                                930112                                             "PRIJEM"                                           "VKLAD"                                            17477.00                                           18477.00                                           ""                                                 NULL                                               NULL
477639                                             1628                                               930112                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    4276.00                                            4976.00                                            "DUCHOD"                                           "UV"                                               "15916598"
615542                                             2099                                               930112                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
439036                                             1493                                               930113                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    5009.00                                            5209.00                                            "DUCHOD"                                           "AB"                                               "54522466"
1100759                                            3760                                               930113                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
480215                                             1637                                               930113                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    5718.00                                            6218.00                                            "DUCHOD"                                           "UV"                                               "45134812"
1548749                                            5270                                               930113                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
505241                                             1726                                               930113                                             "PRIJEM"                                           "VKLAD"                                            13967.00                                           14967.00                                           ""                                                 NULL                                               NULL
846007                                             2881                                               930113                                             "PRIJEM"                                           "VKLAD"                                            6959.00                                            7659.00                                            ""                                                 NULL                                               NULL
1021121                                            3487                                               930113                                             "PRIJEM"                                           "VKLAD"                                            15914.00                                           16714.00                                           ""                                                 NULL                                               NULL
2908689                                            9635                                               930114                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    4470.00                                            4870.00                                            "DUCHOD"                                           "CD"                                               "37906074"
858384                                             2926                                               930114                                             "PRIJEM"                                           "VKLAD"                                            600.00                                             600.00                                             ""                                                 NULL                                               NULL
498389                                             1699                                               930114                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
699221                                             2393                                               930114                                             "PRIJEM"                                           "VKLAD"                                            10737.00                                           11637.00                                           ""                                                 NULL                                               NULL
1142758                                            3909                                               930114                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
1548750                                            5270                                               930114                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    44749.00                                           45549.00                                           ""                                                 "IJ"                                               "80269753"
506836                                             1731                                               930114                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
3393738                                            11265                                              930114                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
621775                                             2122                                               930115                                             "PRIJEM"                                           "VKLAD"                                            46552.00                                           46852.00                                           ""                                                 NULL                                               NULL
737258                                             2519                                               930115                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
144549                                             485                                                930116                                             "PRIJEM"                                           "VKLAD"                                            13156.00                                           13456.00                                           ""                                                 NULL                                               NULL
435762                                             1481                                               930117                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
1027726                                            3510                                               930117                                             "PRIJEM"                                           "VKLAD"                                            23323.00                                           23823.00                                           ""                                                 NULL                                               NULL
3122924                                            10364                                              930117                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
1176385                                            4034                                               930118                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
119435                                             401                                                930118                                             "PRIJEM"                                           "VKLAD"                                            300.00                                             300.00                                             ""                                                 NULL                                               NULL
1100767                                            3760                                               930118                                             "PRIJEM"                                           "VKLAD"                                            10792.00                                           11792.00                                           ""                                                 NULL                                               NULL
682546                                             2330                                               930119                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
529772                                             1806                                               930119                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
1121963                                            3834                                               930119                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
359511                                             1222                                               930120                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
63712                                              212                                                930120                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
298978                                             1019                                               930121                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
136957                                             459                                                930121                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
135814                                             456                                                930121                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
226654                                             772                                                930121                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
3402664                                            11295                                              930121                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
